ano,mes,instituto_pesquisa,contratante_pesquisa_original,data_inicio_pesquisa,data_fim_pesquisa,tamanho_amostra,margem_erro,cenario_id,nome_candidato,partido,percentual,percentual_numero,outros,indecisos_absentos,fonte_titulo,fonte_url,fonte_website,fonte_data_publicacao,fonte_data_acesso,linha_original_wikitext,observacoes_extracao
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_1,Dias,PODE,"4,0%",4.0,"4,2%","38,7%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"4,0%<br /><small>(Dias)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_1,Alckmin,PSDB,"8,6%",8.6,"4,2%","38,7%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"8,6%<br /><small>(Alckmin)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_1,,NOVO,,,"4,2%","38,7%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_1,Bolsonaro,PSL,"20,0%",20.0,"4,2%","38,7%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"style=""background:#FeFFE3"" |'''20,0%'''<br /><small>(Bolsonaro)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Haddad,PT,"2,9%",2.9,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"2,9%<br /><small>(Haddad)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Gomes,PDT,"9,0%",9.0,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"9,0%<br /><small>(Gomes)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,,PSB,,,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Silva,REDE,"13,9%",13.9,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"'''13,9%'''<br /><small>(Silva)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Temer,MDB,"1,3%",1.3,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"1,3%<br /><small>([[Michel Temer|Temer]])</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Dias,PODE,"4,7%",4.7,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"4,7%<br /><small>(Dias)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,,PSDB,,,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,,NOVO,,,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_2,Bolsonaro,PSL,"20,9%",20.9,"5,2%","42,1%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"style=""background:#FeFFE3"" |'''20,9%'''<br /><small>(Bolsonaro)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Haddad,PT,"2,4%",2.4,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"2,4%<br /><small>(Haddad)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Gomes,PDT,"8,1%",8.1,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"8,1%<br /><small>(Gomes)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,,PSB,,,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,Silva,REDE,"13,4%",13.4,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,"'''13,4%'''<br /><small>(Silva)</small>",
2018,Março,CNT/MDA,CNT/MDA [BR-06600/2018],28 de fevereiro,3 de março de 2018,2.002,"2,2",cenario_3,,MDB,,,"4,6%","38,5%",,http://cms.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_sintese_completo_cntmda_135.pdf,,,,–,
