date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2021-12-26,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-01-02,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-01-09,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-01-16,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-01-23,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-01-30,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-02-06,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-02-13,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-02-20,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-02-27,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-03-06,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-03-13,2022,Lula,3,3.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-03-20,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-03-27,2022,Lula,5,5.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-04-03,2022,Lula,6,6.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-04-10,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-04-17,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-04-24,2022,Lula,5,5.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-05-01,2022,Lula,8,8.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-05-08,2022,Lula,6,6.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-05-15,2022,Lula,8,8.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-05-22,2022,Lula,5,5.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
2022-05-29,2022,Lula,4,4.0,BR,2022-01-01 2022-12-31,google_trends,batch_01,Lula,True,False,2026-06-18T18:37:07
