date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2025-06-15,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-06-22,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-06-29,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-07-06,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-07-13,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-07-20,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-07-27,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-08-03,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-08-10,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-08-17,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-08-24,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-08-31,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-09-07,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-09-14,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-09-21,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-09-28,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-10-05,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
2025-10-12,current,Aldo Rebelo,0,0.0,BR,today 12-m,google_trends,batch_01,Lula,False,False,2026-06-18T18:37:07
